Step,Value,S_High,S_Low,Prob_Normal,Prob_Anomaly,Alarm
0,21.548,0.0000,0.0000,1.0000,0.0000,0
1,21.548,0.0000,0.0000,1.0000,0.0000,0
2,21.548,0.0000,0.0000,1.0000,0.0000,0
3,21.548,0.0000,0.0000,1.0000,0.0000,0
4,21.548,0.0000,0.0000,1.0000,0.0000,0
5,21.548,0.0000,0.0000,1.0000,0.0000,0
6,21.548,0.0000,0.0000,1.0000,0.0000,0
7,21.618,0.0000,0.0000,1.0000,0.0000,0
8,21.618,0.0000,0.0000,1.0000,0.0000,0
9,21.618,0.0000,0.0000,1.0000,0.0000,0
10,21.618,0.0000,0.0000,1.0000,0.0000,0
11,21.618,0.0000,0.0000,1.0000,0.0000,0
12,21.618,0.0000,0.0000,1.0000,0.0000,0
13,21.618,0.0000,0.0000,1.0000,0.0000,0
14,21.618,0.0000,0.0000,1.0000,0.0000,0
15,21.618,0.0000,0.0000,1.0000,0.0000,0
16,21.618,0.0000,0.0000,1.0000,0.0000,0
17,21.618,0.0000,0.0000,1.0000,0.0000,0
18,21.618,0.0000,0.0000,1.0000,0.0000,0
19,21.618,0.0000,0.0000,1.0000,0.0000,0
20,21.618,0.0000,0.0000,1.0000,0.0000,0
21,21.664,0.0000,0.0000,1.0000,0.0000,0
22,21.664,0.0000,0.0000,1.0000,0.0000,0
23,21.664,0.0000,0.0000,1.0000,0.0000,0
24,21.664,0.0000,0.0000,1.0000,0.0000,0
25,21.664,0.0000,0.0000,1.0000,0.0000,0
26,21.664,0.0000,0.0000,1.0000,0.0000,0
27,21.664,0.0000,0.0000,1.0000,0.0000,0
28,21.664,0.0000,0.0000,1.0000,0.0000,0
29,21.664,0.0000,0.0000,1.0000,0.0000,0
30,21.664,0.0000,0.0000,1.0000,0.0000,0
31,21.664,0.0000,0.0000,1.0000,0.0000,0
32,21.664,0.0000,0.0000,1.0000,0.0000,0
33,21.664,0.0000,0.0000,1.0000,0.0000,0
34,21.664,0.0000,0.0000,1.0000,0.0000,0
35,21.571,0.0000,0.0000,1.0000,0.0000,0
36,21.571,0.0000,0.0000,1.0000,0.0000,0
37,21.571,0.0000,0.0000,1.0000,0.0000,0
38,21.571,0.0000,0.0000,1.0000,0.0000,0
39,21.571,0.0000,0.0000,1.0000,0.0000,0
40,21.571,0.0000,0.0000,1.0000,0.0000,0
41,21.571,0.0000,0.0000,1.0000,0.0000,0
42,21.571,0.0000,0.0000,1.0000,0.0000,0
43,21.571,0.0000,0.0000,1.0000,0.0000,0
44,21.571,0.0000,0.0000,1.0000,0.0000,0
45,21.571,0.0000,0.0000,1.0000,0.0000,0
46,21.571,0.0000,0.0000,1.0000,0.0000,0
