,TimeStamp,30 Температура масла в магистрали общей откачки (поз. Тм),31 Температура слива масла из опоры турбины (поз. Т606),32 Температура масла на входе в двигатель за фильтром (поз. Т607),33 Температура топливного газа перед СК (перед расходомерным устройством) (поз. Ттг),34 Давление масла в нагнетающей магистрали двигателя (после фильтра) (поз. Pм),35 Давление масла в магистрали общей откачки (поз. Р615),36 Давление за ОК Pk1,37 Давление за ОК Pk2,38 Давление топливного газа перед дозаторами (поз. Pтг1.1),39 Вибрация промежуточного корпуса газогенератора (гориз.) (поз. В1),40 Вибрация корпуса силовой турбины (гориз.) (поз. В2),"41 Положение дозатора газа 8402 (или ДУС-6,5 МП) ( поз. А ДГ)",42 Контроль управления дозатором газа ДГ ,43 Частота вращения РНД (Расчетная),44 Частота вращения РВД (Расчетная),45 Частота вращения РСТ (Расчетная),46 Температура воздуха на входе в газогенератор (Расчетная),47 Давление воздуха за компрессором (Расчетная),48 Частота вращения РНД приведенная,49 Частота вращения РВД приведенная,50 Температура газов за ТНД максимальная (Расчетная),51 Положение лопаток НА КВД. (поз. A2),52 Положение КПВ (поз. A3)
0,6,18.02,21.345,25.678,13.357,292.33,105.977,165.95,168.119,3011.687,2.117,1.954,11.12,11.154,3493.659,8772.037,1212.809,-22.33,167.035,3744.446,9400.398,376.741,7.898,5.072
1,26,18.02,21.35,25.678,13.357,292.33,105.977,165.95,168.119,3023.499,2.117,1.954,11.12,11.154,3493.659,8772.037,1212.809,-22.33,167.035,3743.651,9399.729,376.741,7.898,5.072
2,45,18.045,21.353,25.698,13.357,292.332,107.565,165.95,168.119,3029.404,2.117,1.954,11.12,11.154,3493.659,8772.037,1212.809,-22.33,167.035,3743.652,9399.729,376.741,7.898,5.072
3,67,18.045,21.354,25.698,13.357,292.332,107.565,165.95,168.119,3032.357,2.117,1.954,11.12,11.154,3493.659,8772.037,1212.809,-22.33,167.035,3743.652,9399.73,376.741,7.898,5.072
4,85,18.045,21.37,25.698,13.357,292.332,107.565,167.264,167.656,3003.409,2.114,1.949,11.123,11.144,3493.659,8772.037,1212.809,-22.33,167.035,3743.652,9399.73,376.741,7.547,5.103
5,105,18.045,21.378,25.698,13.357,292.332,107.565,167.264,167.656,2988.935,2.114,1.949,11.123,11.144,3494.389,8772.179,1212.827,-22.33,167.46,3743.652,9399.73,376.741,7.547,5.103
6,125,18.045,21.382,25.698,13.357,292.332,107.565,167.264,167.656,2981.698,2.114,1.949,11.123,11.144,3494.389,8772.179,1212.827,-22.33,167.46,3744.435,9399.883,376.741,7.547,5.103
7,146,18.058,21.384,25.778,13.357,292.36,108.118,167.264,167.656,2978.079,2.114,1.949,11.123,11.144,3494.389,8772.179,1212.827,-22.33,167.46,3744.435,9399.883,376.742,7.547,5.103
8,165,18.058,21.385,25.778,13.357,292.36,108.118,167.264,167.656,2976.27,2.114,1.949,11.123,11.144,3494.389,8772.179,1212.827,-22.33,167.46,3744.435,9399.883,376.742,7.547,5.103
9,185,18.058,21.398,25.778,13.357,292.36,108.118,164.714,168.274,2950.258,2.114,1.94,11.123,11.095,3494.389,8772.179,1212.827,-22.33,167.46,3744.435,9399.884,376.742,7.625,4.992
10,205,18.058,21.405,25.778,13.357,292.36,108.118,164.714,168.274,2937.253,2.114,1.94,11.123,11.095,3493.445,8771.474,1212.844,-22.324,166.494,3744.435,9399.884,376.741,7.625,4.992
11,225,18.058,21.408,25.778,13.357,292.36,108.118,164.714,168.274,2930.75,2.114,1.94,11.123,11.095,3493.445,8771.474,1212.844,-22.321,166.494,3743.379,9399.019,376.742,7.625,4.992
12,246,18.088,21.41,25.819,13.357,292.384,107.857,164.714,168.274,2927.499,2.114,1.94,11.123,11.095,3493.445,8771.474,1212.844,-22.32,166.494,3743.358,9398.965,376.742,7.625,4.992
13,265,18.088,21.411,25.819,13.357,292.384,107.857,164.714,168.274,2925.873,2.114,1.94,11.123,11.095,3493.445,8771.474,1212.844,-22.319,166.494,3743.347,9398.937,376.742,7.625,4.992
14,286,18.088,21.43,25.819,13.357,292.384,107.857,167.11,168.505,2952.022,2.107,1.933,11.049,11.064,3493.445,8771.474,1212.844,-22.319,166.494,3743.342,9398.923,376.741,7.656,5.1
15,305,18.088,21.44,25.819,13.357,292.384,107.857,167.11,168.505,2965.096,2.107,1.933,11.049,11.064,3492.302,8772.495,1212.844,-22.318,167.808,3743.339,9398.917,376.742,7.656,5.1
