,TimeStamp,30-Т масла откачки,31-Т слива масла из турбины,32-Т масла вх ГТД,33-Т ТГ до СК,34-Р масла нагнетания,35-Р масла откачки,36-Р за ОК 1,37-Р за ОК 2,38-Р ТГ перед ДГ,39-Вибрация ГГ,40-Вибрация СТ,41-% ДГ,42-Контроль ДГ,43-N РНД (Расч),44-N РВД (Расч),45-N РСТ (Расч),46 Т-возд вх ГГ (Расч),47-P возд за ГГ (расч),48-N РНД прив,49-N РВД прив,50-Т за ТНД макс,51-% НА КВД,52-% КПВ
0,5,17.499,23.55,32.638,22.353,266.947,126.201,167.347,169.129,2934.242,1.888,0.857,12.446,12.604,3508.311,8891.794,1251.69,-11.462,167.581,3680.466,9328.118,401.572,7.825,4.683
1,24,17.55,23.553,32.705,22.353,266.855,125.633,167.424,168.433,2936.304,1.891,0.857,12.446,12.619,3512.298,8891.21,1251.517,-11.462,168.238,3680.466,9328.118,401.563,7.784,4.755
2,46,17.55,23.566,32.705,22.353,266.855,125.633,167.424,168.433,2942.402,1.891,0.857,12.418,12.619,3510.25,8891.552,1251.492,-11.462,167.929,3684.648,9327.506,401.559,7.681,4.755
3,65,17.55,23.58,32.705,22.353,266.855,125.633,167.347,169.438,2949.467,1.891,0.855,12.421,12.616,3510.295,8890.892,1251.419,-11.462,167.929,3682.5,9327.864,401.557,7.681,4.68
4,86,17.55,23.587,32.705,22.353,266.855,125.633,166.265,164.184,2953.0,1.888,0.855,12.421,12.57,3509.274,8890.973,1251.399,-11.462,168.392,3682.547,9327.172,401.556,7.558,4.58
5,104,17.55,23.599,32.705,22.353,266.855,125.633,166.265,164.184,2957.114,1.888,0.852,12.421,12.57,3509.226,8891.129,1251.335,-11.462,165.224,3681.476,9327.257,401.464,7.558,4.58
6,124,17.55,23.599,32.705,22.353,266.855,125.633,166.265,164.184,2957.114,1.888,0.852,12.421,12.57,3509.226,8891.129,1251.335,-11.462,165.224,3681.476,9327.257,401.464,7.558,4.58
7,144,17.575,23.604,32.739,22.353,266.763,126.035,168.274,170.751,2964.3,1.886,0.855,12.421,12.545,3507.301,8890.806,1251.298,-11.462,165.224,3681.426,9327.421,401.418,7.536,4.683
8,166,17.575,23.607,32.739,22.353,266.763,126.035,167.269,169.824,2967.893,1.881,0.855,12.421,12.551,3509.731,8890.913,1251.269,-11.462,169.512,3679.406,9327.082,401.32,7.57,4.627
9,187,17.575,23.628,32.739,22.353,266.763,126.035,167.269,169.824,2972.84,1.881,0.852,12.421,12.551,3511.469,8891.385,1251.218,-11.462,168.547,3681.956,9327.194,401.187,7.57,4.627
10,206,17.575,23.638,32.739,22.353,266.763,126.035,169.278,168.742,2978.094,1.881,0.85,12.415,12.505,3511.469,8891.385,1251.218,-11.462,168.547,3683.779,9327.689,401.121,7.681,4.627
11,225,17.575,23.643,32.739,22.353,266.763,126.035,169.278,168.742,2980.721,1.884,0.85,12.415,12.492,3510.577,8891.215,1251.18,-11.462,169.01,3683.779,9327.689,401.088,7.767,4.658
12,247,17.587,23.657,32.756,22.353,266.652,126.774,169.278,169.592,2986.854,1.884,0.85,12.421,12.492,3511.635,8891.452,1251.17,-11.462,169.01,3682.842,9327.511,401.072,7.767,4.658
13,264,17.587,23.668,32.756,22.353,266.652,126.774,169.973,173.687,2989.92,1.884,0.852,12.421,12.486,3510.101,8891.587,1251.165,-11.468,169.435,3683.953,9327.76,401.063,7.695,4.758
